Startseite,Endseite,Abbilder,ID,Titel,Autor,Jahr,Link,Schriftenreihe,Band,Textbeziehungen
548,569,,094928584,"Von den Bestandtheilen der Steine, die durch die Kalcination auf Kohlen das Vermögen erhalten das Licht an sich zu ziehen, und von der künstlichen Verfertigung dieser Steine. (Fortsetzung der 39sten Abhandlung)","Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000558,04-phys,3,
569,589,,094946108,"Von der Natur und den Eigenschaften des gemeinen Wassers, in so fern es als ein Auflösungsmittel betrachtet wird","Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000579,04-phys,3,
589,607,,094917191,"Von den Erscheinungen, wenn man alle Arten der Salze jede besonders in gemeinem Wasser auflöset","Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000599,04-phys,3,
607,629,,094929726,"Anatomische und physiologische Beobachtung einer außerordentlichen Ausdehnung des Herzens, die daher entstand, daß der Kanal der Aorta zu enge war","Meckel, Johann Friedrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000617,04-phys,3,
629,684,,094924252,"Von der Methode dauerhaftere und festere Gefäße zu verfertigen, die das stärkste Feuer aushalten können, und am bequemsten sind die Körper im Flusse zu erhalten","Pott, Johann Heinrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000639,04-phys,3,
11,19,,094946876,Neue Versuche mit dem Menschlichen Blute,"Eller, Johann Theodor",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000014,04-phys,4,
19,33,,094917132,Von der Pneumonanthe einem von der Gentiana verschiedenen Pflanzengeschlechte,"Gleditsch, Johann Gottlieb",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000032,04-phys,4,
34,68,,094946515,Anatomische Abhandlung von den Gesichtsnerven,"Meckel, Johann Friedrich",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000047,04-phys,4,
69,95,,094930163,Chemische Untersuchung des gemeinen Wassers,"Marggraf, Andreas Sigismund",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000082,04-phys,4,
96,130,,094946264,"Untersuchung der Producte, die aus der Mischung der Vitriolsäure und des Salmiaks sich erzeugen","Pott, Johann Heinrich",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000109,04-phys,4,
130,147,,09492709X,"Von den Orientalischen Heuschrecken, die haufenweise reisen, und im Jahre 1750 in der Mark Brandenburg große Verwüstungen angerichtet haben","Gleditsch, Johann Gottlieb",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000143,04-phys,4,
148,168,,094926565,"Von dem Begräbnisse des Maulwurfs, und dem Bisamkäfer Silpha vespillo Linn.","Gleditsch, Johann Gottlieb",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000161,04-phys,4,
169,175,,094965374,Von der tremella thermalis gelatinosa reticulata substancia vesiculosa. Siehe fig. 7. fig. 8. fig. 9,"Springsfeld, Gottlob Karl",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000182,04-phys,4,
175,188,,094941890,Neue Versuche und Beobachtungen über die Vegetation der Samenkörner der Pflanzen und Bäume,"Eller, Johann Theodor",1786,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/4/tif/&pn=0000188,04-phys,4,
